REM,X1,X2,Y
0,5.1,3.5,0
1,4.9,3.0,0
2,4.7,3.2,0
3,4.6,3.1,0
4,5.0,3.6,0
5,5.4,3.9,0
6,4.6,3.4,0
7,5.0,3.4,0
8,4.4,2.9,0
9,4.9,3.1,0
10,5.4,3.7,0
11,4.8,3.4,0
12,4.8,3.0,0
13,4.3,3.0,0
14,5.8,4.0,0
15,5.7,4.4,0
16,5.4,3.9,0
17,5.1,3.5,0
18,5.7,3.8,0
19,5.1,3.8,0
20,5.4,3.4,0
21,5.1,3.7,0
22,4.6,3.6,0
23,5.1,3.3,0
24,4.8,3.4,0
25,5.0,3.0,0
26,5.0,3.4,0
27,5.2,3.5,0
28,5.2,3.4,0
29,4.7,3.2,0
30,4.8,3.1,0
31,5.4,3.4,0
32,5.2,4.1,0
33,5.5,4.2,0
34,4.9,3.1,0
35,5.0,3.2,0
36,5.5,3.5,0
37,4.9,3.6,0
38,4.4,3.0,0
39,5.1,3.4,0
40,5.0,3.5,0
41,4.5,2.3,0
42,4.4,3.2,0
43,5.0,3.5,0
44,5.1,3.8,0
45,4.8,3.0,0
46,5.1,3.8,0
47,4.6,3.2,0
48,5.3,3.7,0
49,5.0,3.3,0
50,7.0,3.2,1
51,6.4,3.2,1
52,6.9,3.1,1
53,5.5,2.3,1
54,6.5,2.8,1
55,5.7,2.8,1
56,6.3,3.3,1
57,4.9,2.4,1
58,6.6,2.9,1
59,5.2,2.7,1
60,5.0,2.0,1
61,5.9,3.0,1
62,6.0,2.2,1
63,6.1,2.9,1
64,5.6,2.9,1
65,6.7,3.1,1
66,5.6,3.0,1
67,5.8,2.7,1
68,6.2,2.2,1
69,5.6,2.5,1
70,5.9,3.2,1
71,6.1,2.8,1
72,6.3,2.5,1
73,6.1,2.8,1
74,6.4,2.9,1
75,6.6,3.0,1
76,6.8,2.8,1
77,6.7,3.0,1
78,6.0,2.9,1
79,5.7,2.6,1
80,5.5,2.4,1
81,5.5,2.4,1
82,5.8,2.7,1
83,6.0,2.7,1
84,5.4,3.0,1
85,6.0,3.4,1
86,6.7,3.1,1
87,6.3,2.3,1
88,5.6,3.0,1
89,5.5,2.5,1
90,5.5,2.6,1
91,6.1,3.0,1
92,5.8,2.6,1
93,5.0,2.3,1
94,5.6,2.7,1
95,5.7,3.0,1
96,5.7,2.9,1
97,6.2,2.9,1
98,5.1,2.5,1
99,5.7,2.8,1
100,6.3,3.3,1
101,5.8,2.7,1
102,7.1,3.0,1
103,6.3,2.9,1
104,6.5,3.0,1
105,7.6,3.0,1
106,4.9,2.5,1
107,7.3,2.9,1
108,6.7,2.5,1
109,7.2,3.6,1
110,6.5,3.2,1
111,6.4,2.7,1
112,6.8,3.0,1
113,5.7,2.5,1
114,5.8,2.8,1
115,6.4,3.2,1
116,6.5,3.0,1
117,7.7,3.8,1
118,7.7,2.6,1
119,6.0,2.2,1
120,6.9,3.2,1
121,5.6,2.8,1
122,7.7,2.8,1
123,6.3,2.7,1
124,6.7,3.3,1
125,7.2,3.2,1
126,6.2,2.8,1
127,6.1,3.0,1
128,6.4,2.8,1
129,7.2,3.0,1
130,7.4,2.8,1
131,7.9,3.8,1
132,6.4,2.8,1
133,6.3,2.8,1
134,6.1,2.6,1
135,7.7,3.0,1
136,6.3,3.4,1
137,6.4,3.1,1
138,6.0,3.0,1
139,6.9,3.1,1
140,6.7,3.1,1
141,6.9,3.1,1
142,5.8,2.7,1
143,6.8,3.2,1
144,6.7,3.3,1
145,6.7,3.0,1
146,6.3,2.5,1
147,6.5,3.0,1
148,6.2,3.4,1
149,5.9,3.0,1
